date,easy,medium,hard
2026-02-18,1,0,0
2026-02-17,1,0,0
2026-02-16,1,0,0
2026-02-15,1,0,0
2026-02-14,1,0,0
2026-01-05,1,0,0
2026-01-06,1,0,0
2026-01-07,1,0,0
2026-01-09,1,0,0
2026-01-11,1,0,0
2026-01-12,0,1,0
2026-01-13,0,1,0
2026-01-14,1,0,0
2026-01-15,0,1,0
2026-01-17,0,1,0
2026-01-18,0,1,0
2026-01-19,1,0,0
2026-01-20,0,1,0
2026-01-21,0,1,0
2026-01-22,0,1,0
2026-01-23,1,0,0
2026-01-24,1,0,0
2026-01-25,0,1,0
2026-01-26,1,0,0
2026-01-27,0,1,0
2026-01-28,0,1,0
2026-01-29,0,1,0
2026-01-30,1,0,0
2026-01-31,2,0,0
2026-02-01,1,0,0
2026-02-02,1,0,0
2026-02-03,1,0,0
2026-02-04,1,0,0
2026-02-05,1,0,0
2026-02-06,0,1,0
2026-02-07,0,1,0
2026-02-08,1,0,0
2026-02-09,0,1,0
2026-02-10,0,1,0
2026-02-11,1,0,0
2026-02-12,0,1,0
2026-02-13,1,0,0
2026-02-19,1,0,0
2026-02-20,0,1,0
2026-02-21,1,0,0
2026-02-22,1,0,0
2026-02-23,0,1,0
2026-02-24,1,0,0
2026-02-26,1,0,0
2026-03-02,1,0,0
2026-03-03,1,0,0
2026-03-09,0,1,0
2026-03-10,1,0,0
2026-03-12,1,0,0
2026-03-16,0,1,0
2026-03-17,0,1,0
2026-03-18,0,1,0
2026-03-19,0,1,0
2026-03-20,0,1,0
2026-03-21,1,0,0
2026-03-22,1,0,0
2026-03-23,0,1,0
